N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
3,0.779544,0.346194,0.690849,12.955290 
4,3.331430,3.999013,6.890143,19.781925 
5,0.606957,4.069532,2.610923,8.958001 
6,2.457775,0.759994,0.398284,19.681732 
7,-0.385384,1.305934,11.135689,16.494825 
8,0.422145,-0.613824,18.880002,13.978280 
9,-3.104878,1.231895,14.805682,3.815562 
10,0.610461,-0.040518,5.503437,1.506831 
11,-2.605207,-2.080789,16.426439,2.637155 
12,-1.353043,-4.211791,8.741429,7.391722 
13,-2.282727,3.512009,3.396240,14.276344 
14,0.907268,1.165069,16.441542,11.337599 
15,-0.325293,-3.716638,14.227792,4.563708 
16,4.141280,3.631473,0.451436,5.459932 
17,-0.997967,-1.089690,12.499233,18.757166 
18,1.414482,-0.448090,6.584605,2.019140 
19,-1.078354,0.778935,9.444610,8.098363 
20,0.061596,0.346747,6.947501,18.660893 
21,-1.161486,1.880677,6.360586,2.641280 
22,-0.674633,0.299666,12.162159,5.101028 
23,1.340899,-1.128878,13.515072,5.375953 
24,-4.319735,-1.926963,11.941316,8.195034 
25,-1.274418,-2.550650,5.801865,14.578229 
26,-1.529826,-3.186589,1.566484,12.199430 
27,0.388789,0.524882,3.876848,19.834722 
28,1.005034,-0.485534,5.865277,9.015400 
29,0.106715,-0.303094,17.038615,7.396821 
30,-1.876670,-0.550382,5.867678,15.179468 
31,-0.045990,0.156826,10.162401,12.331286 
32,0.931652,4.261174,11.723713,12.758222 
33,-1.567613,-0.038073,10.418496,11.057044 
34,1.314404,-1.374739,10.565959,19.567484 
35,-3.181435,1.577035,18.781731,17.191740 
36,-0.040150,-0.000581,9.877964,11.918617 
37,-2.389208,3.878487,15.935489,17.280080 
38,1.642004,1.590274,8.373160,2.583073 
39,1.779265,-1.556873,7.451860,8.599943 
40,0.262945,-0.373201,8.740705,4.057094 
